case_id,label,gauss_a,gauss_b,distance_m,dist_bin_lo,match_group,variant
DouBanLv1_c2_c4,0,950,1015,0.08687468731789984,0.08,437940,1v5
DouBanLv1_c2_c4,1,958,21792,0.0851116467949465,0.08,437940,1v5
DouBanLv1_c2_c4,1,8989,39619,0.08658490373813679,0.08,437940,1v5
DouBanLv1_c2_c4,1,8550,21521,0.08657159497630477,0.08,437940,1v5
DouBanLv1_c2_c4,1,11386,18431,0.08749328082676357,0.08,437940,1v5
DouBanLv1_c2_c4,1,1609,31869,0.08866492189347401,0.08,437940,1v5
DouBanLv1_c2_c4,0,950,13358,0.08739567985813805,0.08,437941,1v5
DouBanLv1_c2_c4,1,958,21792,0.0851116467949465,0.08,437941,1v5
DouBanLv1_c2_c4,1,8989,39619,0.08658490373813679,0.08,437941,1v5
DouBanLv1_c2_c4,1,8550,21521,0.08657159497630477,0.08,437941,1v5
DouBanLv1_c2_c4,1,11386,18431,0.08749328082676357,0.08,437941,1v5
DouBanLv1_c2_c4,1,1609,31869,0.08866492189347401,0.08,437941,1v5
DouBanLv1_c2_c4,0,1630,13358,0.10645914193046149,0.1,441962,1v5
DouBanLv1_c2_c4,1,11155,46775,0.10828136151090813,0.1,441962,1v5
DouBanLv1_c2_c4,1,35942,38081,0.10664727879386045,0.1,441962,1v5
DouBanLv1_c2_c4,1,2894,13619,0.10808160228593627,0.1,441962,1v5
DouBanLv1_c2_c4,1,5154,24271,0.10749319174965163,0.1,441962,1v5
DouBanLv1_c2_c4,1,3873,4143,0.10720771282674349,0.1,441962,1v5
DouBanLv1_c2_c4,0,1664,13358,0.10467269472487253,0.1,442255,1v5
DouBanLv1_c2_c4,1,11155,46775,0.10828136151090813,0.1,442255,1v5
DouBanLv1_c2_c4,1,35942,38081,0.10664727879386045,0.1,442255,1v5
DouBanLv1_c2_c4,1,2894,13619,0.10808160228593627,0.1,442255,1v5
DouBanLv1_c2_c4,1,5154,24271,0.10749319174965163,0.1,442255,1v5
DouBanLv1_c2_c4,1,3873,4143,0.10720771282674349,0.1,442255,1v5
DouBanLv1_c2_c4,0,3671,13358,0.09573539656386158,0.09,451363,1v5
DouBanLv1_c2_c4,1,1345,33009,0.0924109593909246,0.09,451363,1v5
DouBanLv1_c2_c4,1,50615,50898,0.09052259419677923,0.09,451363,1v5
DouBanLv1_c2_c4,1,1510,3461,0.09875305842779464,0.09,451363,1v5
DouBanLv1_c2_c4,1,27750,43488,0.09061019971762288,0.09,451363,1v5
DouBanLv1_c2_c4,1,1178,9215,0.09238380565816573,0.09,451363,1v5
DouBanLv1_c2_c4,0,13392,16080,0.08352779020704953,0.08,498098,1v5
DouBanLv1_c2_c4,1,958,21792,0.0851116467949465,0.08,498098,1v5
DouBanLv1_c2_c4,1,8989,39619,0.08658490373813679,0.08,498098,1v5
DouBanLv1_c2_c4,1,8550,21521,0.08657159497630477,0.08,498098,1v5
DouBanLv1_c2_c4,1,11386,18431,0.08749328082676357,0.08,498098,1v5
DouBanLv1_c2_c4,1,1609,31869,0.08866492189347401,0.08,498098,1v5
DouBanLv1_c2_c4,0,13434,3873,0.10582713333920701,0.1,498249,1v5
DouBanLv1_c2_c4,1,11155,46775,0.10828136151090813,0.1,498249,1v5
DouBanLv1_c2_c4,1,35942,38081,0.10664727879386045,0.1,498249,1v5
DouBanLv1_c2_c4,1,2894,13619,0.10808160228593627,0.1,498249,1v5
DouBanLv1_c2_c4,1,5154,24271,0.10749319174965163,0.1,498249,1v5
DouBanLv1_c2_c4,1,3873,4143,0.10720771282674349,0.1,498249,1v5
DouBanLv1_c2_c4,0,13434,13358,0.08656572775412409,0.08,498250,1v5
DouBanLv1_c2_c4,1,958,21792,0.0851116467949465,0.08,498250,1v5
DouBanLv1_c2_c4,1,8989,39619,0.08658490373813679,0.08,498250,1v5
DouBanLv1_c2_c4,1,8550,21521,0.08657159497630477,0.08,498250,1v5
DouBanLv1_c2_c4,1,11386,18431,0.08749328082676357,0.08,498250,1v5
DouBanLv1_c2_c4,1,1609,31869,0.08866492189347401,0.08,498250,1v5
DouBanLv1_c2_c4,0,16119,3873,0.09929207224978137,0.09,511051,1v5
DouBanLv1_c2_c4,1,1345,33009,0.0924109593909246,0.09,511051,1v5
DouBanLv1_c2_c4,1,50615,50898,0.09052259419677923,0.09,511051,1v5
DouBanLv1_c2_c4,1,1510,3461,0.09875305842779464,0.09,511051,1v5
DouBanLv1_c2_c4,1,27750,43488,0.09061019971762288,0.09,511051,1v5
DouBanLv1_c2_c4,1,1178,9215,0.09238380565816573,0.09,511051,1v5
DouBanLv1_c2_c4,0,16119,13358,0.1006728136004843,0.1,511052,1v5
DouBanLv1_c2_c4,1,11155,46775,0.10828136151090813,0.1,511052,1v5
DouBanLv1_c2_c4,1,35942,38081,0.10664727879386045,0.1,511052,1v5
